Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2015-01-17 07:00:00	198.311	201.883	197.645	199.464	363.52	72724.69	200.06
2015-01-17 08:00:00	199.5	200.547	196.183	199	642.11	127205.51	198.1
2015-01-17 09:00:00	198.204	199.205	194	195.699	770.45	150614.77	195.49
2015-01-17 10:00:00	195.699	199.774	194.001	197.849	515.12	101528.05	197.1
2015-01-17 11:00:00	197.849	204	196.182	198.059	851.95	170454.55	200.08
2015-01-17 12:00:00	198	199	196.648	198.999	302.74	59911.14	197.9
2015-01-17 13:00:00	198.503	199.998	196.987	197.627	236.86	47000.59	198.43
2015-01-17 14:00:00	197.437	197.627	194.997	195.477	656.66	128748.98	196.07
2015-01-17 15:00:00	195.477	197.782	193.933	197.202	491.15	95908.96	195.28
2015-01-17 16:00:00	197.199	199.987	195.613	197.93	441.55	87410.33	197.96
2015-01-17 17:00:00	197.859	198.167	196.38	196.382	152.2	29996.5	197.09
2015-01-17 18:00:00	196.475	197.496	195.17	196.161	159.2	31284.98	196.51
2015-01-17 19:00:00	196.162	199.965	195.804	197.982	633.75	125536.3	198.09
2015-01-17 20:00:00	197.983	198	196.168	196.8	383.89	75752.99	197.33
2015-01-17 21:00:00	196.854	197.923	196.413	197.677	90.61	17868.16	197.2
2015-01-17 22:00:00	197.485	199	196.35	197.11	325.79	64426.13	197.75
2015-01-17 23:00:00	197.114	197.774	196.811	197.36	129.88	25659.06	197.55
2015-01-18 00:00:00	197.35	199.65	196.509	197.43	526.52	104365.38	198.22
2015-01-18 01:00:00	197.425	197.998	195.001	196.286	331.52	64930.27	195.86
2015-01-18 02:00:00	196.166	196.387	192.802	194	428.61	83270.48	194.28
2015-01-18 03:00:00	193.933	195.5	193.176	193.8	135.05	26282.85	194.61
2015-01-18 04:00:00	193.8	195.497	192	193.615	236.68	45821.87	193.6
2015-01-18 05:00:00	193.616	194.997	193.044	194.977	198.8	38615.21	194.24
2015-01-18 06:00:00	194.781	194.977	194	194.959	164.35	31926.62	194.26
2015-01-18 07:00:00	194.25	195.002	193.705	193.9	112.78	21939.34	194.53
2015-01-18 08:00:00	193.9	213	193.003	207.886	1725.3	351410.67	203.68
2015-01-18 09:00:00	207.734	213	205.674	208.678	3293.72	689706.57	209.4
2015-01-18 10:00:00	208.52	211	207.942	209.922	809.87	169544.22	209.35
2015-01-18 11:00:00	209.88	214.2	207.34	209	1775.53	374441.49	210.89
2015-01-18 12:00:00	209	217.704	208.609	215.867	1234.4	264137.86	213.98
2015-01-18 13:00:00	215.043	215.983	210	212.958	1271.31	271114.1	213.25
2015-01-18 14:00:00	212.957	213	208.372	209.658	798.58	167796.21	210.12
2015-01-18 15:00:00	209.833	213	207	208.999	968.55	203416.54	210.02
2015-01-18 16:00:00	208.999	209.529	204	206.797	1197.54	246661.41	205.97
2015-01-18 17:00:00	206.272	207.99	205.192	207.118	401.63	83084.25	206.87
2015-01-18 18:00:00	207.163	208	204.262	205.008	599.84	123609.89	206.07
2015-01-18 19:00:00	205.005	209.8	203.658	209.004	600.28	124142.41	206.81
2015-01-18 20:00:00	208.886	211	206.568	206.809	773.91	161505	208.69
2015-01-18 21:00:00	206.767	207.849	202.11	204.155	1303.45	266896.1	204.76
2015-01-18 22:00:00	204.237	206.904	203.848	206.904	367.63	75410.33	205.12
2015-01-18 23:00:00	205.784	207.386	205.31	206.316	234.74	48362.42	206.03
2015-01-19 00:00:00	206.187	211	206.022	211	539.36	112644.9	208.85
2015-01-19 01:00:00	211	212.999	208.856	209.86	465.15	98048.86	210.79
2015-01-19 02:00:00	209.796	212.996	209.529	211.76	264.82	56049.55	211.65
2015-01-19 03:00:00	211.57	212	208.017	210.44	527	110741.75	210.14
2015-01-19 04:00:00	210.44	212.01	210	210.757	405.49	85658.33	211.25
2015-01-19 05:00:00	210.758	215.8	210.701	214	754.45	161449.89	214
2015-01-19 06:00:00	213.744	214.3	205	207.459	953.13	199566.15	209.38
2015-01-19 07:00:00	207.059	209.244	204.999	206	466.3	96368.5	206.67
2015-01-19 08:00:00	206	207	205.001	205.99	335.27	69036.73	205.92
2015-01-19 09:00:00	205.99	208.118	205.266	207.895	187.28	38701.26	206.65
2015-01-19 10:00:00	207.895	209	207.008	208	228.79	47631.71	208.19
2015-01-19 11:00:00	207.999	209	204	207.565	538.31	111404.63	206.95
2015-01-19 12:00:00	208.058	210.363	207.116	209.002	349.15	72964.42	208.98
2015-01-19 13:00:00	209.15	209.996	206.468	207.437	636.48	132029.27	207.44
2015-01-19 14:00:00	207.434	208.55	206.98	207.58	191.77	39796.34	207.52
2015-01-19 15:00:00	207.58	209.5	207.225	208.7	399.86	83278.18	208.27
2015-01-19 16:00:00	207.666	209.5	207.546	208.8	148.16	30936.7	208.8
2015-01-19 17:00:00	208.8	210	208.141	208.313	310.05	64824.71	209.08
2015-01-19 18:00:00	208.603	209.444	208.001	208.5	331.48	69119.17	208.52
2015-01-19 19:00:00	208.677	209	207.232	208.179	531.9	110692.21	208.11
2015-01-19 20:00:00	207.924	211.5	207.77	210.545	309.36	64780.9	209.4
2015-01-19 21:00:00	210.545	213.636	209.22	212.192	619.6	131118.89	211.62
2015-01-19 22:00:00	212.435	212.597	209.88	210.992	418.53	88279.76	210.93
2015-01-19 23:00:00	210.992	212.004	210.123	210.86	775.85	163702.71	211
2015-01-20 00:00:00	210.86	210.889	208.017	208.979	1125.74	236112.28	209.74
2015-01-20 01:00:00	208.91	210.999	208.91	209.699	144.62	30415.04	210.3
2015-01-20 02:00:00	209.883	211.5	209	209.787	396.75	83664.05	210.88
2015-01-20 03:00:00	209.84	210.843	208.95	209.638	101.57	21272.26	209.44
2015-01-20 04:00:00	209.643	211.301	209.638	210.295	97.27	20459.44	210.34
2015-01-20 05:00:00	209.947	210.295	207.89	208.348	907.57	188992.32	208.24
2015-01-20 06:00:00	208.418	209	206.833	207.007	478.85	99437.77	207.66
2015-01-20 07:00:00	207.337	208.302	206.837	208.014	474.1	98237.21	207.21
2015-01-20 08:00:00	208.012	209.063	207.403	208.587	222.06	46294.17	208.48
2015-01-20 09:00:00	208.587	209	208.078	208.33	63.46	13244.23	208.72
2015-01-20 10:00:00	208.5	209.149	207.236	207.658	432.77	90129.41	208.26
2015-01-20 11:00:00	207.796	208.812	207.303	208.485	188.03	39098.87	207.94
2015-01-20 12:00:00	207.572	208.443	207.51	207.642	212.15	44070.56	207.74
2015-01-20 13:00:00	207.598	208.393	203.89	204.167	734.91	151171.09	205.7
